iter	Passed	Remaining
0	1	99
1	1	62
2	1	49
3	2	57
4	2	50
5	2	45
6	3	42
7	3	39
8	3	37
9	4	36
10	4	34
11	4	33
12	4	32
13	5	31
14	5	29
15	5	29
16	5	28
17	6	27
18	6	26
19	6	26
20	6	25
21	6	24
22	7	24
23	7	23
24	7	22
25	7	22
26	8	21
27	8	21
28	8	20
29	8	20
30	9	20
31	9	19
32	9	19
33	9	18
34	9	18
35	10	17
36	10	17
37	10	17
38	10	16
39	10	16
40	11	16
41	11	15
42	11	15
43	11	14
44	11	14
45	12	14
46	12	13
47	12	13
48	12	13
49	13	13
50	13	12
51	13	12
52	13	12
53	13	11
54	14	11
55	14	11
56	14	10
57	14	10
58	15	10
59	15	10
60	15	9
61	15	9
62	16	9
63	16	9
64	16	8
65	16	8
66	16	8
67	17	8
68	17	7
69	17	7
70	17	7
71	18	7
72	18	6
73	18	6
74	18	6
75	19	6
76	19	5
77	19	5
78	19	5
79	20	5
80	20	4
81	20	4
82	20	4
83	21	4
84	21	3
85	21	3
86	21	3
87	21	2
88	22	2
89	22	2
90	22	2
91	22	1
92	23	1
93	23	1
94	23	1
95	23	0
96	24	0
97	24	0
98	24	0
99	24	0
