iter	Passed	Remaining
0	57	57705
1	58	28972
2	58	19418
3	58	14646
4	59	11812
5	59	9884
6	60	8512
7	60	7484
8	60	6675
9	60	6033
10	61	5517
11	61	5085
12	62	4713
13	62	4397
14	62	4124
15	63	3887
16	63	3675
17	63	3486
18	64	3316
19	64	3160
20	64	3017
21	65	2889
22	65	2774
23	65	2667
24	65	2571
25	66	2482
26	66	2397
27	66	2320
28	67	2247
29	67	2181
30	67	2118
31	68	2060
32	68	2003
33	68	1951
34	68	1901
35	69	1854
36	69	1811
37	70	1773
38	70	1735
39	70	1701
40	71	1667
41	71	1633
42	71	1601
43	72	1572
44	72	1542
45	72	1513
46	73	1486
47	73	1459
48	73	1433
49	74	1408
50	74	1384
51	74	1361
52	74	1339
53	75	1318
54	75	1298
55	75	1278
56	76	1258
57	76	1240
58	76	1223
59	77	1208
60	77	1192
61	77	1176
62	78	1161
63	78	1145
64	78	1131
65	78	1116
66	79	1103
67	79	1089
68	79	1076
69	80	1065
70	80	1053
71	80	1043
72	81	1031
73	81	1019
74	81	1008
75	82	996
76	82	986
77	82	975
78	82	965
79	83	955
80	83	946
81	83	936
82	83	926
83	84	918
84	84	909
85	84	901
86	85	894
87	85	886
88	85	879
89	86	872
90	86	865
91	86	857
92	87	850
93	87	844
94	87	837
95	88	830
96	88	823
97	88	817
98	89	810
99	89	803
100	89	797
101	89	791
102	90	784
103	90	778
104	90	772
105	90	767
106	91	761
107	91	755
108	91	750
109	92	745
110	92	739
111	92	734
112	92	728
113	93	723
114	93	718
115	93	713
116	93	708
117	94	703
118	94	699
119	94	694
120	94	689
121	95	684
122	95	680
123	95	676
124	96	672
125	96	668
126	96	664
127	96	660
128	97	656
129	97	652
130	97	648
131	98	644
132	98	641
133	98	637
134	98	633
135	99	630
136	99	626
137	99	623
138	100	620
139	100	617
140	100	614
141	101	610
142	101	607
143	101	604
144	102	601
145	102	598
146	102	595
147	102	592
148	103	589
149	103	586
150	103	583
151	104	580
152	104	578
153	104	575
154	105	573
155	105	570
156	105	567
157	106	565
158	106	562
159	106	560
160	106	557
161	107	554
162	107	552
163	107	549
164	108	547
165	108	545
166	108	543
167	109	541
168	109	538
169	109	536
170	110	534
171	110	531
172	110	529
173	111	527
174	111	524
175	111	522
176	111	520
177	112	517
178	112	515
179	112	513
180	112	511
181	113	508
182	113	506
183	113	504
184	113	502
185	114	500
186	114	498
187	115	497
188	115	495
189	115	493
190	116	491
191	116	489
192	116	487
193	116	485
194	117	483
195	117	481
196	117	480
197	118	478
198	118	477
199	118	475
200	119	473
201	119	472
202	119	470
203	120	468
204	120	467
205	120	465
206	121	463
207	121	461
208	121	460
209	121	458
210	122	456
211	122	454
212	122	453
213	122	451
214	123	449
215	123	448
216	123	446
217	124	445
218	124	443
219	124	441
220	124	440
221	125	439
222	125	437
223	126	436
224	126	434
225	126	433
226	126	431
227	127	430
228	127	428
229	127	427
230	128	426
231	128	424
232	128	423
233	128	421
234	129	420
235	129	418
236	129	417
237	129	415
238	130	414
239	130	413
240	130	412
241	131	411
242	131	410
243	131	408
244	132	407
245	132	406
246	133	405
247	133	404
248	133	403
249	134	402
250	134	400
251	134	399
252	135	398
253	135	397
254	135	396
255	136	395
256	136	394
257	136	393
258	137	391
259	137	390
260	137	389
261	137	388
262	138	387
263	138	385
264	138	384
265	138	383
266	139	382
267	139	381
268	139	380
269	140	378
270	140	377
271	140	376
272	141	375
273	141	374
274	141	373
275	141	372
276	142	371
277	142	370
278	142	369
279	143	368
280	143	366
281	143	365
282	143	364
283	144	363
284	144	362
285	144	361
286	144	360
287	145	359
288	145	358
289	145	356
290	146	356
291	146	355
292	146	354
293	147	354
294	147	353
295	148	352
296	148	351
297	148	350
298	149	349
299	149	348
300	149	347
301	150	346
302	150	345
303	150	344
304	150	343
305	151	343
306	151	342
307	152	341
308	152	341
309	152	340
310	153	339
311	153	338
312	153	337
313	154	337
314	154	336
315	155	335
316	155	334
317	155	333
318	156	333
319	156	332
320	156	331
321	157	330
322	157	330
323	157	329
324	158	328
325	158	327
326	158	326
327	159	326
328	159	325
329	160	325
330	160	324
331	160	323
332	161	323
333	161	322
334	162	321
335	162	320
336	162	320
337	163	319
338	163	318
339	163	317
340	164	317
341	164	316
342	164	315
343	165	315
344	165	314
345	165	313
346	166	312
347	166	311
348	166	311
349	167	310
350	167	309
351	167	308
352	168	308
353	168	307
354	168	306
355	169	305
356	169	305
357	169	304
358	170	303
359	170	303
360	170	302
361	171	301
362	171	300
363	171	300
364	172	299
365	172	298
366	172	297
367	173	297
368	173	296
369	173	295
370	174	295
371	174	294
372	174	293
373	175	293
374	175	292
375	175	291
376	176	291
377	176	290
378	176	289
379	177	289
380	177	288
381	177	287
382	178	287
383	178	286
384	179	285
385	179	285
386	179	284
387	180	283
388	180	283
389	180	282
390	181	282
391	181	281
392	182	281
393	182	280
394	182	279
395	182	279
396	183	278
397	183	277
398	183	276
399	184	276
400	184	275
401	184	274
402	185	274
403	185	273
404	185	272
405	185	271
406	186	271
407	186	270
408	186	269
409	186	268
410	187	268
411	187	267
412	187	266
413	187	265
414	188	265
415	188	264
416	188	263
417	188	262
418	189	262
419	189	261
420	189	260
421	189	259
422	189	259
423	190	258
424	190	257
425	190	256
426	190	256
427	191	255
428	191	254
429	191	254
430	192	253
431	192	252
432	192	252
433	193	251
434	193	251
435	193	250
436	193	249
437	194	249
438	194	248
439	194	248
440	195	247
441	195	246
442	195	245
443	195	245
444	196	244
445	196	243
446	196	243
447	196	242
448	197	241
449	197	241
450	197	240
451	197	239
452	198	239
453	198	238
454	198	237
455	198	237
456	199	236
457	199	235
458	199	235
459	199	234
460	200	233
461	200	233
462	200	232
463	200	231
464	201	231
465	201	230
466	201	230
467	201	229
468	202	228
469	202	228
470	202	227
471	202	226
472	203	226
473	203	225
474	203	224
475	203	224
476	203	223
477	204	223
478	204	222
479	204	221
480	205	221
481	205	220
482	205	219
483	205	219
484	205	218
485	206	218
486	206	217
487	206	216
488	206	216
489	207	215
490	207	215
491	208	214
492	208	214
493	208	213
494	208	213
495	209	212
496	209	212
497	209	211
498	210	210
499	210	210
500	210	209
501	210	209
502	211	208
503	211	208
504	211	207
505	212	207
506	212	206
507	212	205
508	212	205
509	213	204
510	213	204
511	213	203
512	213	203
513	214	202
514	214	201
515	214	201
516	214	200
517	215	200
518	215	199
519	215	199
520	215	198
521	216	197
522	216	197
523	216	196
524	216	196
525	217	195
526	217	195
527	217	194
528	217	194
529	218	193
530	218	192
531	218	192
532	218	191
533	219	191
534	219	190
535	219	190
536	219	189
537	220	189
538	220	188
539	220	187
540	220	187
541	221	186
542	221	186
543	221	185
544	221	185
545	222	184
546	222	184
547	222	183
548	222	183
549	223	182
550	223	182
551	223	181
552	224	181
553	224	180
554	224	180
555	225	179
556	225	179
557	225	178
558	225	178
559	226	177
560	226	177
561	226	176
562	227	176
563	227	175
564	227	175
565	227	174
566	228	174
567	228	173
568	228	173
569	228	172
570	229	172
571	229	171
572	229	171
573	229	170
574	230	170
575	230	169
576	230	169
577	230	168
578	231	168
579	231	167
580	231	167
581	231	166
582	232	166
583	232	165
584	232	165
585	232	164
586	233	164
587	233	163
588	233	163
589	233	162
590	234	162
591	234	161
592	234	161
593	234	160
594	235	160
595	235	159
596	235	159
597	235	158
598	236	158
599	236	157
600	236	157
601	236	156
602	237	156
603	237	155
604	237	155
605	237	154
606	238	154
607	238	153
608	238	153
609	238	152
610	239	152
611	239	151
612	239	151
613	240	150
614	240	150
615	240	150
616	241	149
617	241	149
618	241	148
619	242	148
620	242	147
621	242	147
622	242	147
623	243	146
624	243	146
625	243	145
626	244	145
627	244	144
628	244	144
629	245	144
630	245	143
631	245	143
632	246	142
633	246	142
634	246	141
635	247	141
636	247	140
637	247	140
638	247	140
639	248	139
640	248	139
641	248	138
642	248	138
643	249	137
644	249	137
645	249	136
646	249	136
647	250	135
648	250	135
649	250	134
650	250	134
651	251	133
652	251	133
653	251	133
654	251	132
655	251	132
656	252	131
657	252	131
658	252	130
659	252	130
660	253	129
661	253	129
662	253	128
663	253	128
664	254	128
665	254	127
666	254	127
667	255	126
668	255	126
669	255	125
670	255	125
671	256	125
672	256	124
673	257	124
674	257	123
675	257	123
676	258	123
677	258	122
678	258	122
679	259	121
680	259	121
681	259	121
682	259	120
683	260	120
684	260	119
685	260	119
686	260	118
687	261	118
688	261	118
689	261	117
690	262	117
691	262	116
692	262	116
693	262	115
694	263	115
695	263	115
696	263	114
697	263	114
698	264	113
699	264	113
700	264	112
701	264	112
702	265	111
703	265	111
704	265	111
705	265	110
706	265	110
707	266	109
708	266	109
709	266	108
710	267	108
711	267	108
712	267	107
713	267	107
714	267	106
715	268	106
716	268	105
717	268	105
718	268	105
719	269	104
720	269	104
721	269	103
722	269	103
723	270	102
724	270	102
725	270	102
726	270	101
727	271	101
728	271	100
729	271	100
730	271	100
731	272	99
732	272	99
733	272	98
734	273	98
735	273	98
736	273	97
737	273	97
738	274	96
739	274	96
740	274	96
741	274	95
742	275	95
743	275	94
744	275	94
745	276	93
746	276	93
747	276	93
748	276	92
749	277	92
750	277	91
751	277	91
752	277	91
753	278	90
754	278	90
755	278	89
756	279	89
757	279	89
758	279	88
759	279	88
760	280	87
761	280	87
762	280	87
763	280	86
764	281	86
765	281	85
766	281	85
767	281	85
768	281	84
769	282	84
770	282	83
771	282	83
772	282	83
773	283	82
774	283	82
775	283	81
776	283	81
777	284	81
778	284	80
779	284	80
780	284	79
781	285	79
782	285	79
783	285	78
784	285	78
785	286	77
786	286	77
787	286	77
788	286	76
789	287	76
790	287	75
791	287	75
792	288	75
793	288	74
794	288	74
795	289	74
796	289	73
797	289	73
798	289	72
799	289	72
800	290	72
801	290	71
802	290	71
803	290	70
804	291	70
805	291	70
806	291	69
807	291	69
808	292	68
809	292	68
810	292	68
811	292	67
812	293	67
813	293	67
814	293	66
815	293	66
816	294	65
817	294	65
818	294	65
819	294	64
820	295	64
821	295	63
822	295	63
823	295	63
824	295	62
825	296	62
826	296	62
827	296	61
828	296	61
829	297	60
830	297	60
831	297	60
832	297	59
833	298	59
834	298	58
835	298	58
836	298	58
837	299	57
838	299	57
839	299	57
840	299	56
841	300	56
842	300	55
843	300	55
844	300	55
845	301	54
846	301	54
847	301	54
848	301	53
849	302	53
850	302	52
851	302	52
852	303	52
853	303	51
854	303	51
855	303	51
856	304	50
857	304	50
858	304	50
859	304	49
860	305	49
861	305	48
862	305	48
863	305	48
864	305	47
865	306	47
866	306	47
867	306	46
868	306	46
869	307	45
870	307	45
871	307	45
872	307	44
873	308	44
874	308	44
875	308	43
876	308	43
877	309	42
878	309	42
879	309	42
880	309	41
881	310	41
882	310	41
883	310	40
884	310	40
885	311	40
886	311	39
887	311	39
888	311	38
889	311	38
890	312	38
891	312	37
892	312	37
893	312	37
894	313	36
895	313	36
896	313	36
897	313	35
898	314	35
899	314	34
900	314	34
901	314	34
902	315	33
903	315	33
904	315	33
905	315	32
906	316	32
907	316	32
908	316	31
909	316	31
910	317	30
911	317	30
912	317	30
913	317	29
914	318	29
915	318	29
916	318	28
917	319	28
918	319	28
919	319	27
920	320	27
921	320	27
922	320	26
923	320	26
924	321	26
925	321	25
926	321	25
927	321	24
928	322	24
929	322	24
930	322	23
931	322	23
932	323	23
933	323	22
934	323	22
935	323	22
936	324	21
937	324	21
938	324	21
939	324	20
940	325	20
941	325	20
942	325	19
943	325	19
944	326	18
945	326	18
946	326	18
947	326	17
948	326	17
949	327	17
950	327	16
951	327	16
952	327	16
953	328	15
954	328	15
955	328	15
956	328	14
957	329	14
958	329	14
959	329	13
960	329	13
961	330	13
962	330	12
963	330	12
964	330	11
965	331	11
966	331	11
967	331	10
968	331	10
969	331	10
970	332	9
971	332	9
972	332	9
973	333	8
974	333	8
975	333	8
976	333	7
977	334	7
978	334	7
979	334	6
980	335	6
981	335	6
982	335	5
983	335	5
984	336	5
985	336	4
986	336	4
987	337	4
988	337	3
989	337	3
990	337	3
991	338	2
992	338	2
993	338	2
994	338	1
995	339	1
996	339	1
997	339	0
998	339	0
999	340	0
